timestamp,time,phase,pos_x,pos_y,pos_z,target_x,target_y,target_z,vel_cmd_x,vel_cmd_y,vel_cmd_z,distance_to_target
1770897352.8225844,0.006560564041137695,POSITIONING,7.98975820466876,0.01874411292374134,-0.037599265575408936,0.0,0.0,-20.0,0.0,0.0,0.0,21.50195411102434
1770897352.841459,0.025435209274291992,POSITIONING,7.989897256717086,0.019064059481024742,-0.03707881271839142,0.0,0.0,-20.0,0.0,0.0,0.0,21.50248924987235
1770897352.862344,0.046320199966430664,POSITIONING,7.9900037962943316,0.019275177270174026,-0.036726340651512146,0.0,0.0,-20.0,0.0,0.0,0.0,21.502856261327093
1770897352.8836195,0.0675957202911377,POSITIONING,7.9902355102822185,0.019608931615948677,-0.03616844117641449,0.0,0.0,-20.0,0.0,0.0,0.0,21.503460617515838
1770897352.902135,0.08611106872558594,POSITIONING,7.9903759602457285,0.019833717495203018,-0.03581225872039795,0.0,0.0,-20.0,0.0,0.0,0.0,21.503843692035183
1770897352.9230707,0.10704684257507324,POSITIONING,7.990632649511099,0.020165061578154564,-0.03524845838546753,0.0,0.0,-20.0,0.0,0.0,0.0,21.50446281327532
1770897352.9424868,0.1264629364013672,POSITIONING,7.990632649511099,0.020165061578154564,-0.03524845838546753,0.0,0.0,-20.0,0.0,0.0,0.0,21.50446281327532
1770897352.9618828,0.1458590030670166,POSITIONING,7.990910387597978,0.02049226686358452,-0.03467866778373718,0.0,0.0,-20.0,0.0,0.0,0.0,21.50509531841866
1770897352.9826512,0.1666274070739746,POSITIONING,7.991095677018166,0.02071135863661766,-0.03430292010307312,0.0,0.0,-20.0,0.0,0.0,0.0,21.505513222563177
1770897353.0017962,0.18577241897583008,POSITIONING,7.99142989423126,0.021008381620049477,-0.03370785713195801,0.0,0.0,-20.0,0.0,0.0,0.0,21.506190156344882
1770897353.0220516,0.20602774620056152,POSITIONING,7.991672521457076,0.02119557373225689,-0.03330931067466736,0.0,0.0,-20.0,0.0,0.0,0.0,21.50665050689551
1770897353.0415676,0.22554373741149902,POSITIONING,7.991936764679849,0.021372629329562187,-0.032908543944358826,0.0,0.0,-20.0,0.0,0.0,0.0,21.5071209429439
1770897353.064214,0.24819016456604004,POSITIONING,7.992365763988346,0.021620947867631912,-0.0322941392660141,0.0,0.0,-20.0,0.0,0.0,0.0,21.507851015653564
