timestamp,time,vertex_id,x,y,z,distance_from_center
1770895325.56022,41.26337957382202,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.5674326,41.270592212677,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.5886917,41.29185104370117,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.6078987,41.31105828285217,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.6257308,41.32889032363892,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.6451783,41.34833788871765,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.6654942,41.36865377426148,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.6864717,41.389631032943726,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.7057023,41.40886187553406,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.725633,41.428792238235474,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.7491317,41.45229125022888,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.7665217,41.46968102455139,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.7876987,41.49085831642151,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.8068676,41.51002717018128,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.8272312,41.53039073944092,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.85073,41.55388951301575,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.8659024,41.56906199455261,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
1770895325.885148,41.58830761909485,0,-0.45243183048024216,-0.1616165223426663,-19.206744188918165,0.43614723962286656
